('1121', '3M')
('491', 'ABB')
('521', 'Abbott')
('1501', 'Accenture')
('1279', 'Activate Global')
('1585', '* Adobe')
('1157', 'AECOM')
('1263', 'AEOP Internships and Fellowships')
('567', 'Aerospace Corporation, The')
('584', 'AES')
('571', 'AIAA')
('741', 'Air Force Research Laboratory')
('721', 'Air Products & Chemicals, Inc.')
('867', 'Amentum')
('973', "America's Navy")
('447', 'American Express')
('715', 'Amsted Industries')
('1260', 'Amtrak')
('710', 'Anduril Industries')
('1247', 'Ansys, Inc.')
('483', 'AppFolio, Inc.')
('431', 'Apple Inc.')
('1161', 'Applied Research Lab. at Penn State')
('569', 'Applied Research Lab. at the University of TX')
('966', 'Aptiv')
('974', 'Arcadis')
('1346', 'Arconic Corporation')
('574', 'Arete')
('699', 'Arizona State University')
('941', 'Army Civilian Careers')
('485', 'Arup')
('733', 'ASML')
('931', 'Bank of America')
('1470', 'Barnard Construction')
('1433', 'BASF')
('1441', 'Bechtel Corporation')
('270', 'Bloomberg')
('1474', 'Blue Origin LLC')
('1352', 'BNY')
('1376', 'Bonneville Power Administration')
('1475', 'Booz Allen Hamilton')
('533', 'Boston Scientific')
('1553', 'bp')
('1466', 'Burns & McDonnell')
('1479', 'BWX Technologies')
('1486', 'C3 AI')
('709', 'Cadence Design Systems')
('898', 'Caltech Biology and Biological Engr.')
('1262', 'Caltrans')
('878', 'Capital Group')
('761', 'Capital One')
('461', 'Cargill')
('1197', 'Carnegie Mellon Univ.')
('1370', 'Casualty Actuarial Society')
('861', 'Caterpillar Inc.')
('955', 'Central Intelligence Agency (CIA)')
('1492', 'CF Industries Holdings, Inc.')
('921', 'Chevron')
('611', 'Chewy')
('853', 'Cisco Systems')
('1287', 'Clemson University')
('847', 'Clorox Company, The')
('1275', 'CodePath.org')
('1392', 'Colorado School of Mines')
('690', 'Columbia Engineering')
('1410', 'Constellation Energy')
('1361', 'Cook Medical')
('883', 'Cornell University')
('1379', 'CSL Behring')
('1111', 'Cummins Inc.')
('482', 'Daimler Truck North America')
('486', 'Dairy Farmers of America')
('425', 'Danaher Corporation')
('889', 'Dartmouth Engr.')
('387', 'Dell Technologies')
('1341', 'Delta Air Lines Inc.')
('879', 'Dev10')
('1499', 'Diamondback Energy')
('970', 'Digital Realty')
('371', 'Discover')
('575', 'DiversityComm')
('471', 'DKMS')
('1375', 'DKS Associates')
('1179', 'DoD SMART Scholarship Program')
('487', 'Dodge Industrial, Inc.')
('1461', 'Dominion Energy')
('583', 'Dow, Inc.')
('991', 'DPR Construction')
('570', 'Draper')
('796', 'Duke University')
('555', 'DuPont')
('1201', 'Eaton Corporation')
('440', 'Ecolab')
('755', 'Edwards Lifesciences')
('727', 'Eli Lilly and Company')
('682', 'Embry Riddle Aeronautical University')
('481', 'EPRI')
('746', 'Exelon Corporation')
('1301', 'Exxon Mobil Corporation')
('672', 'Federal Aviation Administration')
('1167', 'Federal Bureau of Investigation')
('377', 'FirstEnergy')
('283', 'Fish & Richardson P.C.')
('1291', "Florida Int'l University - College of Engr")
('872', 'FM Global')
('811', 'Ford Motor Company')
('1257', 'Freeport McMoRan, Inc.')
('1407', 'GE Aerospace')
('515', 'GE HealthCare')
('1233', 'GE Vernova')
('1457', 'Geico')
('1413', 'General Dynamics')
('541', 'General Motors')
('1183', 'Georgia Institute of Tech.')
('1369', 'Georgia Transmission Corp')
('779', 'GHD Ltd.')
('1256', 'Gilbane Building Company')
('1357', 'GlobalFoundries')
('950', 'Goldman Sachs')
('267', 'Google')
('285', 'Grammarly')
('1141', 'Granite Construction')
('897', 'Harvard Business School')
('798', 'Harvard School of Engr. & Applied Science')
('1196', 'HDR Inc.')
('455', 'Henkel Corporation')
('1406', 'Hensel Phelps')
('1323', 'HII')
('361', 'Honda')
('901', 'Honeywell, Inc.')
('1482', 'Hormel Foods Corporation')
('547', 'HP Inc.')
('1521', 'Hubbell Inc.')
('928', 'IBM Corporation')
('473', 'Idaho National Laboratory')
('477', 'Inclusive Engineering Consortium')
('749', 'Ingersoll Rand')
('1396', 'Iowa State University')
('967', 'Jacobs')
('1175', 'Jefferson Lab')
('1356', 'Jensen Hughes')
('1497', 'JLL')
('1213', 'John Deere')
('1177', 'Johns Hopkins Applied Physics Laboratory, The')
('799', 'Johns Hopkins University - Engr. Mgmt.')
('795', 'Johns Hopkins Whiting School of Engr')
('1401', 'Johnson & Johnson')
('274', 'KBR')
('586', 'Keysight Technologies')
('1493', 'Kia America')
('1153', 'Kiewit')
('1367', 'Kimley-Horn')
('1587', 'KLA')
('384', 'Kruger Products / KTG (USA)')
('1513', "L'Oreal")
('661', 'L3Harris Technologies')
('674', 'LA County Sanitation District')
('561', 'Lam Research')
('1360', 'Lawrence Livermore National Laboratory')
('1289', 'Lehigh University - P.C. Rossin College of Engr')
('767', 'Leidos')
('701', 'Lenovo')
('475', 'Linux Foundation, The')
('911', 'Lockheed Martin')
('479', 'Los Alamos National Lab')
('1227', 'Los Angeles Department of Water and Power')
('687', 'Loyola Marymount University')
('986', 'Lutron')
('582', 'Marathon Petroleum')
('714', 'Marvell')
('961', 'Medtronic')
('666', 'MEMPC')
('452', 'Merck & Co.')
('599', 'MESA')
('1552', 'Meta')
('1489', 'Michigan Department of Transportation')
('1127', 'Micron Technologies')
('261', 'Microsoft')
('653', 'Milwaukee Tool')
('1374', 'Minnesota Dept. of Transportation')
('882', 'Missouri University of Science & Tech.')
('1297', 'MIT Chemical Engineering')
('1295', 'MIT LGO / MIT SDM')
('467', 'MIT Lincoln Laboratory')
('1398', 'MIT Office of Graduate Education')
('1399', 'MIT School of Engineering')
('1271', 'Mitre')
('946', 'Molson Coors Beverage Company')
('984', 'Morgan Stanley')
('841', 'Mortenson')
('1147', 'Motorola Solutions')
('566', 'NASA')
('979', 'NASCAR')
('676', 'National Academies')
('1276', 'National Energy Technology Lab. (NETL)')
('1267', 'National Geospatial Intelligence Agency')
('1362', 'National Renewable Energy Laboratory - NREL')
('1507', 'National Security Agency (NSA)')
('581', 'Naval Facilities Engineering Systems Command')
('1171', 'Naval Nuclear Laboratory')
('678', 'NAVSEA - Crane')
('1447', 'Navy Civilian Careers')
('647', 'Navy Federal Credit Union')
('1366', 'NCWIT')
('786', 'New Jersey Institute of Tech.')
('1389', 'New Mexico Tech')
('1274', 'New York Independent Systems Operator')
('997', 'Nintendo of America, Inc.')
('1270', 'NIST')
('1268', 'NNSA Graduate: Fellowship Program')
('782', 'Northeastern University')
('601', 'Northrop Grumman Corporation')
('1292', 'Northwestern Master of Science in Law')
('896', 'Northwestern University')
('641', 'Nucor')
('278', 'NVIDIA')
('1434', 'NXP Semiconductors')
('888', 'NYU Center for Data Science')
('1199', 'NYU Tandon School of Engr.')
('680', 'Oak Ridge Institute for Science & Education')
('1269', 'Oak Ridge National Laboratory')
('590', 'Oracle')
('797', 'Oregon State University')
('577', 'Out in STEM, Inc.')
('752', 'Pacific Gas and Electric')
('1261', "Pacific NW Na'l. Lab.")
('1353', 'PBF Energy')
('1285', 'Penn State Univ., College of Engr.')
('1207', 'PepsiCo')
('446', 'Pfizer, Inc.')
('982', 'PIMCO')
('773', 'Polaris')
('1133', 'Procter & Gamble')
('930', 'PTC, Inc.')
('1288', 'Purdue Univ., College of Engr.')
('1590', 'Ramboll')
('1253', 'Regeneron')
('1430', 'Relativity Space')
('791', 'Rensselaer Polytechnic Institute')
('1395', 'Research in Germany')
('579', 'Rewriting the Code')
('1386', 'Rice University NEWT Center')
('697', 'Rice University Office of Graduate and Postdoctora')
('615', 'Rivian')
('527', 'Rockwell Automation')
('1278', "RTI Int'l.")
('1101', 'RTX')
('1378', 'San Francisco Public Utilities Commission')
('1368', 'Sandia National Laboratories')
('875', 'Sentry')
('833', 'Skanska')
('1431', 'Skyworks Solutions')
('469', "SLAC Nat'l. Accelerator Lab.")
('1467', 'Smurfit WestRock')
('441', 'SoCalGas')
('573', 'Society of Women Engineers')
('1266', 'Somos')
('1421', 'Southern Company')
('684', 'Southern Methodist University')
('1190', 'Southwire')
('1331', 'SpaceX')
('386', 'SRAM')
('683', 'Stanford Engineering')
('1471', 'Stantec')
('692', 'Stevens Institute of Technology')
('829', 'T. Rowe Price')
('1452', 'TC Energy')
('851', 'TechnipFMC')
